ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1501808,Breves,8.80,16.90,15.04,3.12,1.03,6.54,4.82,8.23,8.00,96444
2013,1501907,Bujaru,6.10,9.40,12.05,3.11,2.27,23.10,13.84,68.29,6.16,27000
2013,1501956,Cachoeira do Piriá,6.30,21.90,27.86,1.93,0.14,2.52,3.95,29.36,3.42,29533
2013,1502004,Cachoeira do Arari,9.80,16.30,22.39,2.71,0.33,13.76,5.51,44.65,2.49,21740
2013,1502103,Cametá,5.00,14.30,17.42,3.19,0.79,9.39,4.85,28.81,3.60,127401
2013,1502152,Canaã dos Carajás,4.60,22.30,15.72,4.60,34.06,2.75,93.86,1.12,80.25,31062
2013,1502202,Capanema,7.10,19.50,10.09,5.40,7.08,9.87,10.59,3.76,22.75,65498
2013,1502301,Capitão Poço,9.40,13.20,13.11,3.64,1.29,17.90,5.89,32.94,7.34,52537
2013,1502400,Castanhal,4.90,18.00,15.50,4.87,8.25,3.81,11.09,5.34,17.78,183917
2013,1502509,Chaves,13.40,23.80,14.23,1.54,0.30,0.00,5.23,43.93,3.52,22029
2013,1502608,Colares,7.90,9.90,0.00,4.05,0.41,1.44,4.39,22.74,2.81,11600
2013,1502707,Conceição do Araguaia,6.50,16.80,13.42,4.85,3.04,9.87,7.38,19.11,14.92,46206
2013,1502756,Concórdia do Pará,6.50,20.50,17.89,3.57,5.91,6.12,6.59,32.87,6.31,30233
2013,1502764,Cumaru do Norte,5.50,26.40,46.51,2.73,0.05,9.28,13.32,71.40,1.91,11704
2013,1502772,Curionópolis,4.40,21.00,12.05,6.06,12.73,13.76,9.67,26.41,18.47,17983
2013,1502806,Curralinho,7.80,23.30,14.49,2.17,0.28,7.84,4.25,26.79,2.70,30915
2013,1502855,Curuá,7.30,18.40,13.64,2.75,0.27,7.60,5.05,33.85,2.07,13097
2013,1502905,Curuçá,8.70,19.30,8.47,3.69,0.58,7.53,5.05,30.96,2.83,36557
2013,1502939,Dom Eliseu,5.30,27.00,10.32,2.93,2.83,15.85,6.46,20.91,6.88,54602
2013,1502954,Eldorado dos Carajás,5.50,24.30,17.79,4.69,1.11,13.39,6.44,21.38,17.99,32420
2013,1503002,Faro,6.10,13.90,0.00,3.13,0.70,23.47,5.92,33.12,4.57,7680
2013,1503044,Floresta do Araguaia,4.90,19.80,7.22,3.52,0.97,14.26,15.96,30.80,39.19,18741
2013,1503077,Garrafão do Norte,6.60,20.20,7.92,4.19,0.26,7.40,5.69,33.41,3.95,25287
2013,1503093,Goianésia do Pará,6.00,26.10,15.11,4.19,0.47,11.65,6.14,19.87,10.87,36500
2013,1503101,Gurupá,9.10,20.70,20.77,1.66,0.23,8.56,4.46,28.56,2.90,30727
2013,1503200,Igarapé-Açu,8.80,18.20,16.10,5.04,1.67,7.00,6.13,28.98,12.92,36883
2013,1503309,Igarapé-Miri,4.60,15.90,19.91,4.11,0.97,12.42,5.26,33.68,3.59,59644
2013,1503408,Inhangapi,6.70,11.60,21.86,4.49,0.64,12.98,7.11,46.94,7.82,10693
2013,1503457,Ipixuna do Pará,4.00,24.70,15.25,2.20,0.54,13.63,7.22,32.45,25.64,54609
2013,1503507,Irituia,5.80,13.80,8.62,3.98,0.70,12.86,4.29,23.73,3.47,31634
2013,1503606,Itaituba,5.70,21.90,13.62,4.69,1.97,8.83,9.92,15.44,20.28,98363
2013,1503705,Itupiranga,11.80,27.30,16.97,4.29,0.57,10.65,6.18,37.57,8.44,51711
2013,1503754,Jacareacanga,15.10,16.10,30.93,4.82,0.54,13.94,0.00,14.33,4.52,11412
2013,1503804,Jacundá,5.50,19.50,8.02,3.99,0.75,17.89,5.80,13.69,9.33,54376
2013,1503903,Juruti,4.40,15.50,16.73,1.83,1.87,1.57,14.12,38.35,26.56,51483
2013,1504000,Limoeiro do Ajuru,5.20,7.40,39.34,2.86,0.20,14.26,12.38,75.64,0.92,26542
2013,1504059,Mãe do Rio,3.90,16.60,17.83,5.48,2.12,16.54,6.90,10.83,9.07,28636
2013,1504109,Magalhães Barata,8.90,41.40,9.62,4.98,0.52,2.50,6.04,41.39,3.74,8240
2013,1504208,Marabá,4.20,18.70,16.72,4.53,11.17,1.27,19.07,3.45,39.43,251885
2013,1504307,Maracanã,6.90,23.80,20.41,3.77,0.48,12.41,4.96,36.27,3.56,28631
2013,1504406,Marapanim,6.40,17.30,34.06,4.57,0.59,2.92,4.81,34.61,3.51,27153
2013,1504422,Marituba,5.20,24.40,11.82,4.56,5.32,3.32,7.92,0.45,14.88,117614
2013,1504455,Medicilândia,5.60,16.90,6.29,3.00,0.35,8.81,9.18,52.60,6.16,28987
2013,1504505,Melgaço,6.00,20.20,12.68,1.62,0.24,10.94,4.03,16.71,2.82,25860
2013,1504604,Mocajuba,3.70,17.90,27.03,3.06,0.67,17.28,6.59,48.58,3.12,28454
